To be 1
I am fine, and you?;Я в порядке, а ты?
She is beautiful, isn’t she?;Она красивая, не так ли?
You are smart, aren’t you?;Ты умны, не так ли?
Is he sick?;Он болен?
Are they good?;Они хорошие?
is it funny?;Это забавно?
We are not friends;Мы не друзья
He is not fat;Он не толстый (жирный)
Am I right?;Я прав
Is it correct?;Это верно?
I was happy, and you?;Я был счастлив, а ты?
He was ready;Он был готов
You were amazing;Ты был удивительным
Was I good?;Я был хорош?
Was she beautiful?;Она была красивой?
Was it difficult?;Это было сложно?
We were not there;Мы не были там (Нас там не было)
She was not here;Она не была там (Ее не было там)
I will be glad;Я буду рад
He will be tired;Он будет уставшим
Will you be there?;Ты будешь там?
Will it be interesting? ;Это будет интересно?
I will not be there;Я там не буду (меня не будет там)
You will not be great ;Ты не будешь великим
Pronouns
My brother;Мой брат
Her sister;Ее сестра
His mother;Его мама
Our car;Наша машина
Their dinner;Их ужин
Your father;Ваш отец
Its wool;(собака) ее шерсть
This/That 1
This man;Этот мужчина
These people;Эти люди
That car;Та машина
Those girls;Те девочки
Numerals
First  day;Первый день 
Second floor;Второй этаж
Third year;Третий год
Fourth car;Четвертая машина
Fifth president;Пятый президент
To do 1
She wants me very much;Она хочет меня очень сильно
He asks me about her;Он спрашивает меня о ней
I believe them because they are good;Я верю им потому что они хорошие
Do you remember us?;Вы помните нас?
Does she want him?;Она хочет его?
She doesn’t look at him at all;Она не смотрит на него вообще
You don’t listen to us so you are bad;Ты не слушаешь меня поэтому ты плохой
I looked at her once;Я посмотрел на нее раз
He called them so they will come;Он звонил им поэтому они придут
She wanted us ;Она хотела нас
Did you ask for money?;Ты просил денег?
Did you wait for her?;Ты ждал ее?
He didn’t ask for money so I didn’t give;Он не просил денег поэтому я не давал
She didn’t look at me at all ;Она не посмотрела на меня вообще
I will wait for you;Я буду ждать тебя
He will call me so I will wait for him;Он не позвонит меня поэтому я буду ждать его
Will she remember us?;Она будет помнить нас?
Will you ask them?;Ты спросишь их?
I will not listen to you at all;Я не буду слушать тебя вообще
I will not believe him;Я не поверю ему
To be 2
I am so happy, man;Я так счастлив, дружище
She is a great person, isn’t she?;Она прекрасный человек, не так ли?
You are my super hero;Ты мой супер герой
It is a great day ;Это великолепный день
is he your friend?;Он твой друг?
Are you a student?;Ты студент?
Is it a good idea?;Это хорошая идея?
He is not my son;Он не мой сын
You are not a hardworking person;Ты не трудолюбивый человек
I am not her brother;Я не ее брат
Was she your girlfriend?;Она была твоей девушкой?
